	Dataset	RatioAcc
0	Haptics	[0.27928638458251953, 0.28224730491638184, 0.33011722564697266, 0.2988779544830322, 0.31815600395202637, 0.2962062358856201, 0.3011956214904785, 0.29226183891296387, 0.30031776428222656, 0.3151552677154541]
1	InsectWingbeatSound	[0.11921286582946777, 0.1266646385192871, 0.12566781044006348, 0.12766480445861816, 0.14316797256469727, 0.14461421966552734, 0.1516251564025879, 0.15034174919128418, 0.15854811668395996, 0.17154216766357422]
